Longitud,Latitud,RSRP
"-77,05290269","-12,09201614",-78
"-77,05290613","-12,0920696",-87
"-77,05303237","-12,09233559",-91
"-77,05323416","-12,09269942",-79
"-77,0532697","-12,09309127",-71
"-77,05285831","-12,09335726",-66
"-77,05165532","-12,09416026",-74
"-77,05163531","-12,09418145",-69
"-77,05163531","-12,09418145",-70
"-77,0511125","-12,09453043",-69
"-77,05101212","-12,09459587",-71
"-77,0506361","-12,09476383",-69
"-77,05035246","-12,09472102",-63
"-77,04921058","-12,09455857",-70
"-77,04847601","-12,09445466",-74
"-77,04811314","-12,09438557",-70
"-77,04802728","-12,09437397",-70
"-77,04772051","-12,09433471",-66
"-77,04773178","-12,09436953",-73
"-77,0476872","-12,09435839",-70
"-77,04749308","-12,09431943",-68
"-77,04689265","-12,09423049",-71
"-77,04679995","-12,09421741",-64
"-77,04650675","-12,09417893",-74
"-77,04602042","-12,09411142",-80
"-77,0457302","-12,09406864",-79
"-77,04467935","-12,09391833",-64
"-77,04467935","-12,09391833",-84
"-77,04385614","-12,09380944",-84
"-77,04268301","-12,09362819",-90
"-77,03980439","-12,09324504",-89
"-77,03877174","-12,09309565",-92
"-77,03843437","-12,09304123",-89
"-77,03797333","-12,09298148",-67
"-77,03877174","-12,09309565",-92
"-77,03797333","-12,09298148",-84
"-77,0373259","-12,09289319",-77
"-77,03712618","-12,09287711",-67
"-77,0370219","-12,09285708",-64
"-77,0369403","-12,09285257",-69
"-77,03629031","-12,09279009",-78
"-77,03603687","-12,09275357",-79
"-77,03574487","-12,09271852",-73
"-77,03555668","-12,09269842",-71
"-77,03549147","-12,09267997",-72
"-77,03546712","-12,09267699",-63
"-77,03537037","-12,09266425",-68
"-77,03523575","-12,09264037",-70
"-77,03506295","-12,09259071",-74
"-77,03475387","-12,09255214",-82
"-77,0346168","-12,09250615",-79
"-77,03459933","-12,09250489",-85
"-77,03439313","-12,09249157",-71
"-77,03452878","-12,09250053",-80
"-77,03439313","-12,09249157",-83
"-77,03394812","-12,09247449",-88
"-77,03383671","-12,09245577",-92
"-77,03372577","-12,09244098",-71
"-77,03369675","-12,09243467",-91
"-77,03362029","-12,09242034",-94
"-77,03339287","-12,09238374",-96
"-77,03307897","-12,09234104",-67
"-77,03307897","-12,09234104",-81
"-77,03246287","-12,09228536",-63
"-77,03220671","-12,0922416",-53
"-77,03205422","-12,09221823",-70
"-77,03234682","-12,09226344",-65
"-77,03159036","-12,09214897",-57
"-77,03095697","-12,09202851",-71
"-77,03057977","-12,09198159",-69
"-77,03031411","-12,09194696",-53
"-77,03027502","-12,09193942",-64
"-77,03014947","-12,0919137",-65
"-77,03007319","-12,09189822",-66
"-77,02997635","-12,09188955",-65
"-77,02997635","-12,09188955",-63
"-77,02986161","-12,09187967",-67
"-77,02978335","-12,09187406",-65
"-77,02972011","-12,09187073",-69
"-77,0296595","-12,09185859",-70
"-77,02952911","-12,09181993",-74
"-77,0293386","-12,09176325",-72
"-77,02928163","-12,0917535",-81
"-77,02917218","-12,09171989",-75
"-77,02895829","-12,09169075",-73
"-77,0286643","-12,0916724",-82
"-77,02844375","-12,09164399",-60
"-77,02829701","-12,09163342",-82
"-77,0282584","-12,09163018",-58
"-77,02829701","-12,09163342",-82
"-77,0280406","-12,09160131",-71
"-77,02744852","-12,09150939",-85
"-77,02746524","-12,09151363",-61
"-77,02433192","-12,09116242",-66
"-77,0243694","-12,09117012",-75
"-77,02401813","-12,09111428",-59
"-77,02405528","-12,09111809",-64
"-77,02378335","-12,09120772",-58
